4.779848922178750459e-02 1.203718297631999889e-01 7.016042906487567066e-02 6.113452046586132643e-02 1.834040427171227436e-06 7.805987505553739513e-06 1.209789733903590441e-12 7.655430451295121286e-02 1.837477851851196148e-04 1.610420406354395872e-02
2.778420287242998332e-02 5.924948463606154181e-02 4.914101511345994577e-20 2.092529379665008953e-09 1.995610421170469483e-21 2.412493501683113731e-02 1.826596259680334997e-02 2.700635551240188257e-18 5.189117284888480397e-13 1.534577159899690006e-02
5.597786204341381744e-02 4.692133042585980990e-03 7.603403109210452409e-09 6.416396246708466582e-03 2.240259353047060243e-31 3.081626387370830361e-04 7.497026059130907152e-03 1.189754643228454438e-09 1.327104152197729881e-05 2.293968113398810269e-03
2.522845712853010250e-02 3.308340852881356956e-06 2.733650887525835115e-68 4.176195348418145525e-26 7.605035073405605819e-03 3.350285534315191886e-34 3.308615372392331596e-09 1.453121413139214104e-56 2.485271181168603493e-44 4.649429509987221307e-64
5.138743762549009830e-02 3.752236428456629056e-03 1.087150791079140170e-48 2.323641614619295116e-03 1.591567542558118569e-39 1.275292924167988008e-13 2.838482962119527823e-22 3.299858778534336120e-32 8.636825617867373567e-11 5.750744292018218199e-33
7.957959752005684854e-15 2.699091063858489607e-43 2.469549689744197918e-02 3.095373616817198124e-13 3.404330594601489429e-02 9.035403095137604923e-02 1.158249896616641260e-02 2.695924939412427945e-02 1.521983176422034937e-15 3.815377302789758107e-24
8.119681910332107733e-02 5.591096138934830914e-03 8.749491488660559255e-62 9.178904850454518648e-05 4.705577955534449158e-03 3.867400458440059858e-20 1.138010227979976234e-34 4.615393587951096685e-15 2.919974841212883733e-03 1.714955528046427193e-21
1.777686419306526459e-03 1.172926853377965692e-02 7.497357293961570430e-04 2.536275097908810361e-61 4.919690133947660066e-22 8.718740170155078742e-09 6.746070109286411579e-04 2.223738202608220818e-30 1.666531167176034168e-26 4.105086828541774010e-34
2.321963793507558077e-03 4.047094389724921286e-44 1.232541326624630303e-60 2.641521130654679937e-39 1.725899807628543689e-70 1.720322200733523724e-02 5.326042401656204775e-07 5.535772047636163836e-98 7.794727578561813033e-61 7.950510214491222973e-24
9.718634829264759592e-03 2.284507443094836374e-02 9.229403959016254169e-03 2.405110842429778080e-03 2.154421984693489206e-19 1.105016170914996237e-01 9.710261611914095496e-17 1.240735916258664757e-08 8.332183822260227105e-10 3.453735268360330797e-03
